Image_Name,Camera_Manufacturer,ISO,Shutter_Speed,Input_PSNR,Lamba_PSNR,GT_PSNR,Input_SSIM,Lamba_SSIM,GT_SSIM,ImageGT_tf,GT_Exposure_Ratio
_AJN8217.NEF,NIKON,100,20.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0
_AJN8218.NEF,NIKON,100,15.0,24.09187370194232,8.213859725977432,21.745229521257286,0.9330006830454138,0.36466353440019,0.7303529666624367,False,1.3333333333333333
_AJN8219.NEF,NIKON,100,10.0,26.79969187929832,8.576955412220201,21.57045024208387,0.8987951380768239,0.3717586454899388,0.7242782266414132,False,2.0
_AJN8220.NEF,NIKON,100,8.0,22.67983206823022,8.960686335133266,21.969459141820742,0.8836897925598245,0.388583791277598,0.7381682060557991,False,2.5
_AJN8221.NEF,NIKON,100,6.0,25.826449307419285,9.461058987229231,22.19325737476922,0.8717611998900993,0.4138537613869862,0.7471228959653647,False,3.3333333333333335
_AJN8222.NEF,NIKON,100,4.0,24.846085689984832,9.97995301625915,22.12827189075784,0.8451541414803535,0.4447960136514424,0.7479576766993626,False,5.0
_AJN8223.NEF,NIKON,100,3.0,24.900725005254003,10.590218613973168,22.34707592819987,0.825811817410996,0.489590472040702,0.7492697461061216,False,6.666666666666667
_AJN8224.NEF,NIKON,100,2.0,23.713678455088715,11.235449068407029,22.358659033374785,0.7880624754036494,0.5081065406092375,0.7437223818813585,False,10.0
_AJN8225.NEF,NIKON,100,1.5,23.28502790293332,11.788157034709595,22.53141047000012,0.742349346881678,0.5264613238690621,0.7196539553323161,False,13.333333333333334
_AJN8226.NEF,NIKON,100,1.0,21.92235246224312,12.408346676562452,22.470478942229345,0.6926806332611553,0.5482736049668412,0.6742733580775738,False,20.0
_AJN8227.NEF,NIKON,100,0.6666666667,22.297975639665367,13.11607257249964,22.23144056863259,0.6281804272352743,0.5366439759532862,0.5960539932170544,False,29.9999999985
_AJN8228.NEF,NIKON,100,0.5,21.22565243358721,13.580640173360166,22.037256682016064,0.5664209423295241,0.4919970909968508,0.5214146125848501,False,40.0
_AJN8229.NEF,NIKON,100,0.3333333333,20.420581441117108,13.86964917382346,21.280444594880592,0.4960928845914759,0.4159256996526583,0.4447376007790822,False,60.000000006
_AJN8230.NEF,NIKON,100,0.25,19.62314697053962,13.757936313519243,19.791579566878976,0.4344732878807381,0.3256956738003039,0.3632012120640848,False,80.0
_AJN8231.NEF,NIKON,100,0.1666666667,19.250906923954044,13.336136075773904,19.284268823618703,0.3722162140113914,0.2775157077427619,0.3278094381416693,False,119.999999976
_AJN8232.NEF,NIKON,100,0.125,18.70769454129917,13.83355739681363,18.60634847414638,0.3345697068917705,0.2570539181610591,0.2890760366779041,False,160.0
_AJN8233.NEF,NIKON,100,0.1,17.959766633610265,15.580602416973182,17.445154969895707,0.3014229939918251,0.243773075598092,0.2256799883960452,False,200.0
_AJN8234.NEF,NIKON,100,0.06666666667,17.625349588843477,16.349600427238556,16.171346679992403,0.2927200141042816,0.2011692087109209,0.1536883918175767,False,299.999999985
_AJN8235.NEF,NIKON,100,0.05,17.20810081134626,15.904923358282064,15.792803294089314,0.2705120690242305,0.1489301653320821,0.1309690315494493,False,400.0
_AJN8236.NEF,NIKON,100,0.03333333333,16.882195057081994,15.71888238959146,15.635639889943366,0.25527179061726,0.1338332973995509,0.1249507204099323,False,600.00000006
_AJN8237.NEF,NIKON,100,0.02222222222,16.64039935154898,15.628156668552514,15.549328111590413,0.2390000241280355,0.126799722556557,0.1219266252783947,False,900.00000009
_AJN8238.NEF,NIKON,100,0.01666666667,16.487629963200273,15.537131801295596,15.463379767091167,0.2297402066871751,0.1232454439497092,0.1200771120362712,False,1199.99999976
_AJN8263.NEF,NIKON,100,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0
_AJN8264.NEF,NIKON,100,10.0,34.57636790765138,8.870302674462454,32.73502651503807,0.9864366612921316,0.2403948484756694,0.8275465617437116,False,1.5
_AJN8265.NEF,NIKON,100,8.0,36.465003814199946,9.633644741030352,33.47707074956395,0.9832506261049276,0.3751228294341879,0.8594870030651981,False,1.875
_AJN8266.NEF,NIKON,100,6.0,33.34884556328975,10.5733585319293,34.09414156626254,0.9826701948878936,0.5767420494545991,0.8830989548982217,False,2.5
_AJN8267.NEF,NIKON,100,4.0,33.66769832722758,11.899549580361448,34.31960656844579,0.9776013350057098,0.675489023355455,0.899353959612801,False,3.75
_AJN8268.NEF,NIKON,100,3.0,33.42984056057791,12.828932616403502,34.358212506874736,0.9736864747479864,0.7273869410812348,0.905676210043643,False,5.0
_AJN8269.NEF,NIKON,100,2.0,33.71369898043315,14.012170119314026,34.22648819530343,0.9696462914020062,0.7809087726346032,0.90900500814003,False,7.5
_AJN8270.NEF,NIKON,100,1.5,33.78099787446698,15.522315766586312,35.19185049639432,0.962969554123256,0.8254682189129355,0.9107882618324736,False,10.0
_AJN8271.NEF,NIKON,100,1.0,33.73979430804111,17.098117578973962,35.25571999239155,0.9532441641210948,0.8430430623295555,0.9095603662069652,False,15.0
_AJN8272.NEF,NIKON,100,0.6666666667,32.9352578534816,18.386889246653848,34.75199854038513,0.9484847838015104,0.8508845282479706,0.9080963797279475,False,22.499999998875
_AJN8273.NEF,NIKON,100,0.5,33.283927087361874,20.42931500525364,35.039071799817926,0.9364970709480988,0.8669769649566682,0.904493529849619,False,30.0
_AJN8274.NEF,NIKON,100,0.3333333333,33.91804588689655,22.79814419477937,34.80079604405597,0.921556862272918,0.8813288607230826,0.8997932652642048,False,45.0000000045
_AJN8275.NEF,NIKON,100,0.25,33.97076912649476,24.553456723867534,34.87631279307393,0.9091948795945368,0.8877359896680731,0.8976869392464467,False,60.0
_AJN8276.NEF,NIKON,100,0.1666666667,33.175715085715055,26.2931179921984,34.32134987803714,0.8815677295155875,0.8844826857923235,0.8942560553324972,False,89.999999982
_AJN8277.NEF,NIKON,100,0.125,32.55414501707263,27.780822149993867,34.587748790090544,0.8696529459210448,0.8850797336355315,0.8941380863572551,False,120.0
_AJN8278.NEF,NIKON,100,0.1,31.83327795097613,29.46963783399637,34.13831776843748,0.8517952688702133,0.8878871203084592,0.8929030326653876,False,150.0
_AJN8279.NEF,NIKON,100,0.06666666667,31.107310102707345,30.084022152124845,33.61100734853992,0.8254892239912838,0.8886943201941637,0.8918521608956059,False,224.99999998875
_AJN8280.NEF,NIKON,100,0.05,30.517755796261945,30.28449052781683,32.854078492310634,0.8163073986560452,0.8891202279902836,0.891275506620354,False,300.0
_AJN8281.NEF,NIKON,100,0.03333333333,30.0882991998415,30.719173188948908,31.810096149208057,0.7965145455935959,0.8890113674292427,0.8907644510338856,False,450.00000004500004
_AJN8282.NEF,NIKON,500,4.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0
_AJN8283.NEF,NIKON,500,3.0,39.416466708122606,8.125726390679235,30.38268129145863,0.9672160005303012,0.1402688026068298,0.7439847717057839,False,1.3333333333333333
_AJN8284.NEF,NIKON,500,2.0,34.16354801117444,8.463138830861734,29.934211898505527,0.962794851816248,0.2063519772512268,0.7645703152118738,False,2.0
_AJN8285.NEF,NIKON,500,1.5,35.833705567236244,9.372063329440678,30.64098861989276,0.9586797174932844,0.1598227159327194,0.8085618919528789,False,2.6666666666666665
_AJN8286.NEF,NIKON,500,1.0,35.78624677216895,9.768805937470646,30.715523377476124,0.9491866856401407,0.2592863414730662,0.8349607356222443,False,4.0
_AJN8287.NEF,NIKON,500,0.6666666667,34.938964680600265,10.594197995597876,30.98497893391347,0.938650149057616,0.287657273718909,0.8568277804804793,False,5.9999999997
_AJN8288.NEF,NIKON,500,0.5,34.23561025318705,12.012500108907116,32.69634170622031,0.9261676173700994,0.3146857998275844,0.8901227279170852,False,8.0
_AJN8289.NEF,NIKON,500,0.3333333333,34.95530660533854,13.09888559395321,32.42113348951157,0.9076737453706568,0.348654533835618,0.8944416807378651,False,12.0000000012
_AJN8290.NEF,NIKON,500,0.25,34.48499149119991,14.245543910943091,32.827991052509574,0.8891018334226232,0.3944328617148891,0.8993768017409325,False,16.0
_AJN8291.NEF,NIKON,500,0.1666666667,32.69360530001568,16.17889116214078,32.728651996872706,0.8552850790701129,0.8527593707201188,0.9085148882560612,False,23.9999999952
_AJN8292.NEF,NIKON,500,0.125,32.991983594541175,17.50224809429603,32.731548895077566,0.8485055212597133,0.6286386506446723,0.8921608286480754,False,32.0
_AJN8293.NEF,NIKON,500,0.1,31.83426702851576,19.151919712536262,33.38370120439623,0.8203700678976356,0.8885260613877252,0.9045791711633852,False,40.0
_AJN8294.NEF,NIKON,1000,1.5,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0
_AJN8295.NEF,NIKON,1000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0
_AJN8296.NEF,NIKON,1000,1.0,33.867974905593634,9.445482899079911,31.22356278587656,0.950973315776087,0.0375974863582101,0.7955045291979701,False,2.0
_AJN8297.NEF,NIKON,1000,0.6666666667,35.6437956251403,9.854166732230349,30.896260370722423,0.9449251556860724,0.0511565352954189,0.7891990516308537,False,2.99999999985
_AJN8298.NEF,NIKON,1000,0.5,35.979259478935404,10.096586329150115,31.76041641511737,0.9282708594530176,0.1015381750882841,0.8215556098589744,False,4.0
_AJN8299.NEF,NIKON,1000,0.5,35.85245270346941,9.49368366250176,31.13890955911129,0.9343016982638276,0.1992817646803047,0.8084396867071512,False,4.0
_AJN8300.NEF,NIKON,1000,0.3333333333,34.19447604435343,11.837855965471125,31.938971498924307,0.9003724682117026,0.2286042349242622,0.8691964252920888,False,6.0000000006
_AJN8301.NEF,NIKON,1000,0.25,34.88688695431873,11.6184899096419,32.31988497964,0.8896194958998255,0.2343155516551039,0.8548356597260525,False,8.0
_AJN8302.NEF,NIKON,1000,0.1666666667,33.282534124267606,13.964901830817292,32.17500964085874,0.8628500026663346,0.363400248561917,0.8737950628211902,False,11.9999999976
_AJN8303.NEF,NIKON,1000,0.125,33.24267054551439,15.661812518907375,33.43341785752309,0.8339073586158371,0.7190331694888412,0.9349950197058218,False,16.0
_AJN8304.NEF,NIKON,1000,0.1,33.17020855645407,16.939849805138707,34.23295156466023,0.8173718757219356,0.6052510053440683,0.8852430386445893,False,20.0
_AJN8305.NEF,NIKON,1000,0.06666666667,31.858265512809467,18.15960244572404,33.725132049454544,0.8034868370867009,0.6644471006925329,0.8634970678165157,False,29.9999999985
_AJN8306.NEF,NIKON,1000,0.05,31.40424635926939,19.90022211915114,34.17821749121237,0.7872632900029201,0.717917673531033,0.8312655049707747,False,40.0
_AJN8307.NEF,NIKON,1000,0.03333333333,30.72938095590004,22.13532815304214,33.88222672036061,0.7725383677834685,0.7523798352821359,0.7649746341416875,False,60.000000006
_AJN8308.NEF,NIKON,1000,0.02222222222,30.28521893756389,23.54254101896959,33.5189959691072,0.765146364084794,0.7673023301344665,0.8521671320201998,False,90.000000009
_AJN8309.NEF,NIKON,1000,0.01666666667,29.455317430385325,25.930700492890534,34.77992439522116,0.7529165135218232,0.7817954091694674,0.8904484911586635,False,119.999999976
_AJN8310.NEF,NIKON,1000,0.01111111111,29.1587874157358,25.40137250364917,29.94077514866619,0.7454922287075293,0.7487125477128842,0.6938825169602051,False,180.000000018
_AJN8311.NEF,NIKON,1000,0.008,28.8290877302262,28.78418342963127,34.395151754359425,0.7405040249369462,0.7790356209302578,0.8421383494599097,False,250.0
_AJN8312.NEF,NIKON,1000,0.005555555556,28.57517150885344,29.81737264315211,34.15037245217437,0.7359239740475442,0.78085919493786,0.8257410540663406,False,359.9999999712
_AJN8313.NEF,NIKON,1000,0.004,28.53430288494508,30.09706361322545,32.94913935617287,0.7290112511676141,0.7794339183910245,0.7886531023931215,False,500.0
_AJN8314.NEF,NIKON,1000,0.002857142857,28.35922471428308,30.135959526857185,33.08749589444134,0.7360726497449751,0.7210345803997984,0.8453102658229829,False,700.000000035
_AJN8315.NEF,NIKON,2500,0.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0
_AJN8316.NEF,NIKON,2500,0.5,35.73373061665325,9.336245918973416,31.14276167196263,0.9098844391914024,0.0237747256498208,0.7431945742249582,False,1.3333333334
_AJN8317.NEF,NIKON,2500,0.3333333333,32.44489739350617,10.250730337123452,31.50291981368534,0.8858961035570855,0.1263792278433985,0.8270059684718492,False,2.0000000003
_AJN8318.NEF,NIKON,2500,0.25,33.05442469300052,10.159715894261666,31.41585522335115,0.8749699160868403,0.0311252034235948,0.7289884196890476,False,2.6666666668
_AJN8319.NEF,NIKON,2500,0.1666666667,32.825220726900525,12.89864937719914,32.03302171085749,0.8356600901303927,0.2224182090995985,0.8396408675543823,False,3.9999999994
_AJN8320.NEF,NIKON,2500,0.125,32.55072028469436,15.464070277860165,32.7983394688801,0.8186029205549775,0.3734834914419167,0.8643765012759665,False,5.3333333336
_AJN8321.NEF,NIKON,2500,0.1,32.1023574379072,15.033249232381978,33.17562008828351,0.7985107421535663,0.2298812420327775,0.7942220218664101,False,6.666666666999999
_AJN8322.NEF,NIKON,2500,0.06666666667,31.770967550795323,16.915336175305008,32.93108737811456,0.7844824879830613,0.5222729535928187,0.8303155332177283,False,10.0
_AJN8323.NEF,NIKON,2500,0.05,30.876536600611544,20.511855665456604,34.04731393015005,0.769999214823931,0.6458780441442867,0.8837627555353698,False,13.333333333999999
_AJN8324.NEF,NIKON,2500,0.03333333333,30.55643767882464,18.63008609301346,31.711590433694056,0.7600198571664674,0.3426929569606078,0.6425633612288584,False,20.000000003
_AJN8325.NEF,NIKON,2500,0.02222222222,29.94100089080008,19.75039893236864,28.923632809850844,0.7511555530184911,0.3707478441341129,0.5070026495305715,False,30.0000000045
_AJN8326.NEF,NIKON,2500,0.01666666667,29.21064315393272,21.80978374806348,29.13407260165873,0.7439915672828835,0.5202379053017504,0.5768580312666567,False,39.999999994
_AJN8327.NEF,NIKON,2500,0.01111111111,28.82237120462649,23.105672193878025,30.24615039214701,0.7372957917862784,0.5444409451740064,0.610295153059993,False,60.000000009
_AJN8328.NEF,NIKON,2500,0.008,28.65021909151572,22.634832349115133,27.46036809881047,0.7332467957696239,0.418411324673712,0.4637091836913884,False,83.3333333375
_AJN8329.NEF,NIKON,2500,0.005555555556,28.45256264359339,24.25066131018891,24.99667784185093,0.7271104295610854,0.5404030342180776,0.4781463351809503,False,119.9999999964
_AJN8330.NEF,NIKON,2500,0.004,28.488829147091973,23.3283945081906,23.786838633725765,0.7270047670761833,0.4313573650085358,0.4057271397318877,False,166.666666675
_AJN8331.NEF,NIKON,2500,0.002857142857,28.328066693603333,23.788279415599973,23.978070176502552,0.7233830098211675,0.4265771972627266,0.4097354352943223,False,233.33333335666666
_AJN8332.NEF,NIKON,2500,0.002,28.32306089403407,24.065013415981376,24.05636907688262,0.7230120852072002,0.4435473970899717,0.444603190001484,False,333.33333335
_AJN8333.NEF,NIKON,6400,0.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0
_AJN8334.NEF,NIKON,6400,0.25,33.68460757819594,8.197763214192694,28.80101833173736,0.8644392883050066,0.0325623496307597,0.473226733264779,False,1.3333333332
_AJN8335.NEF,NIKON,6400,0.1666666667,32.65855800428037,9.992392654707189,30.01678237733481,0.8212222803787014,0.1200805243144491,0.5508232619222495,False,1.9999999994
_AJN8336.NEF,NIKON,6400,0.125,32.45512669092864,12.118284621835464,31.386977336698152,0.805103102705358,0.1282451857366649,0.6234064126765585,False,2.6666666664
_AJN8337.NEF,NIKON,6400,0.1,31.808235760973385,10.963705734017172,30.10923927602441,0.7859067223390926,0.1913883309612673,0.5000242689374632,False,3.3333333329999997
_AJN8338.NEF,NIKON,6400,0.06666666667,31.19246506057388,11.40624725979757,27.81127760079105,0.7706872996451936,0.2318989941491659,0.5152706182591579,False,4.99999999925
_AJN8339.NEF,NIKON,6400,0.05,30.848680205593496,11.749823340721452,26.643222563848905,0.7601035092133307,0.2645742922324352,0.5554197833690372,False,6.666666665999999
_AJN8340.NEF,NIKON,6400,0.03333333333,30.171744970165683,12.188189423906412,23.902565981340143,0.7479426337611358,0.3025862047056667,0.5160853023348203,False,10.0
_AJN8341.NEF,NIKON,6400,0.02222222222,29.71911639467825,17.592351177777704,26.616448859359355,0.7443184140478089,0.4441648027052133,0.5534671840825294,False,14.999999999999998
_AJN8342.NEF,NIKON,6400,0.01666666667,29.35244912160563,23.969857634818204,31.724681843218537,0.7396302910407146,0.5732354242280627,0.5682667324592532,False,19.999999994
_AJN8343.NEF,NIKON,6400,0.01111111111,29.111024544080987,12.927000748039925,19.49093998188416,0.7272535807602815,0.3498701261182197,0.4773195289999314,False,29.999999999999996
_AJN8344.NEF,NIKON,6400,0.008,28.858492510524187,27.91216196560645,32.95053722985073,0.7314833186906009,0.6185473094846483,0.6330633463885924,False,41.6666666625
_AJN8345.NEF,NIKON,6400,0.005555555556,28.76015571158309,19.514595787205263,22.095202656209523,0.7237170709338517,0.346835697394211,0.3725546098579479,False,59.9999999892
_AJN8346.NEF,NIKON,6400,0.004,28.503783955538765,21.71373760984597,21.924465731852365,0.7242630542494961,0.4996367598977711,0.4873571916657045,False,83.333333325
_AJN8347.NEF,NIKON,6400,0.002857142857,28.43914438406226,32.04634783545685,32.3648470007458,0.7254917754156827,0.6452365765496954,0.6284635867101552,False,116.66666666083333
