Image_Name,Camera_Manufacturer,ISO,Shutter_Speed,GT_Exposure_Ratio,Input_PSNR,Lamba_PSNR,GT_PSNR,Input_SSIM,Lamba_SSIM,GT_SSIM,ImageGT_tf
10003_00_0.04s.ARW,Sony,100,0.04,250.0,16.59594029886209,29.431976093970626,31.171093012675012,0.19253997923409452,0.837890045390837,0.8378246872582146,False
10003_00_0.1s.ARW,Sony,100,0.1,100.0,19.571884127818965,18.006676533516778,33.26504289765539,0.39436579148487505,0.7414246529058618,0.8987412579357533,False
10006_00_0.04s.ARW,Sony,100,0.04,250.0,16.32361031544164,29.897965299641584,32.39153054278175,0.09773727011238224,0.8788782917719039,0.8874013022954498,False
10006_00_0.1s.ARW,Sony,100,0.1,100.0,19.422642337726774,17.29067877758355,34.8608126991303,0.21598599569087518,0.7112502378709907,0.9189674666220182,False
10011_00_0.04s.ARW,Sony,100,0.04,250.0,15.597560732270527,28.376484592141754,30.28447852877811,0.0604604669336322,0.9152264769493904,0.9243371831343351,False
10011_00_0.1s.ARW,Sony,100,0.1,100.0,18.02993075265294,18.560002275980167,32.85384312988625,0.10053361099919779,0.8016005568366049,0.9427970112608054,False
10016_00_0.04s.ARW,Sony,100,0.04,250.0,16.72394297062876,29.419796887722246,32.11163856997638,0.10649523862772185,0.8344686037707415,0.8548533792844895,False
10016_00_0.1s.ARW,Sony,100,0.1,100.0,19.733071156917397,17.336106554239972,34.18575151321923,0.23542276047111155,0.696268833802223,0.8973504322251317,False
10022_00_0.04s.ARW,Sony,100,0.04,250.0,16.59379618570843,28.111102008158877,32.43955135029337,0.1013873040206787,0.8270626277068208,0.8597997576970097,False
10022_00_0.1s.ARW,Sony,100,0.1,100.0,20.10552580341033,17.212122751118784,35.20976048181423,0.2130022249787753,0.6678907519691158,0.9067212922622577,False
10030_00_0.04s.ARW,Sony,100,0.04,250.0,13.705560258068527,17.90036326816222,27.636805304879793,0.07875540391759982,0.8310468176169384,0.920752767792124,False
10030_00_0.1s.ARW,Sony,100,0.1,100.0,14.710236379724495,20.432806613391467,30.99695311122708,0.20298656977033971,0.9187630722722542,0.9452039705222645,False
10032_00_0.04s.ARW,Sony,100,0.04,250.0,14.783095298470904,30.13860536995562,34.14807205870166,0.06738935987072806,0.9442953894347003,0.9502835076016668,False
10032_00_0.1s.ARW,Sony,100,0.1,100.0,18.964946647344412,28.46782097504693,37.09879870428073,0.19023170506231293,0.9535279175549012,0.9669338350531594,False
10034_00_0.04s.ARW,Sony,100,0.04,250.0,16.785552331774017,20.390253769768165,21.054028435883172,0.31486451347019623,0.7226879073533726,0.7231123471313509,False
10034_00_0.1s.ARW,Sony,100,0.1,100.0,17.27585031440524,15.328043618477947,21.003171244684303,0.481858499650282,0.6867310981559288,0.724774428923991,False
10035_00_0.04s.ARW,Sony,100,0.04,250.0,18.22586637648432,32.31301924330162,35.810685221105665,0.12745116776093177,0.9248522360830721,0.9281374083131798,False
10035_00_0.1s.ARW,Sony,100,0.1,100.0,21.44506323998083,18.334552327288637,38.505365223743645,0.2619823873479375,0.6631261941514505,0.9502506209537008,False
10040_00_0.04s.ARW,Sony,100,0.04,250.0,14.71542446952431,30.613608295707845,32.633664879219054,0.09165525329895104,0.8733990989549548,0.8767564302247995,False
10040_00_0.1s.ARW,Sony,100,0.1,100.0,16.723946204603244,30.00180514973781,34.72133092466602,0.2276674187196475,0.9065113379871589,0.9130016955895868,False
10045_00_0.04s.ARW,Sony,100,0.04,250.0,11.58115283434596,15.412391283204311,21.30855991579277,0.10558938950137432,0.7173286393247916,0.7671009965639343,False
10045_00_0.1s.ARW,Sony,100,0.1,100.0,12.075602906006601,17.86848503895152,22.229228509508317,0.21121947424213047,0.796956773858771,0.8000029066914349,False
10054_00_0.04s.ARW,Sony,100,0.04,250.0,11.009827058960845,16.292227652019612,20.441396127375313,0.1222937059814282,0.770313722462794,0.8362892595810658,False
10054_00_0.1s.ARW,Sony,100,0.1,100.0,10.785780073052857,18.812418566439717,20.484427795197092,0.2383753619347937,0.8554030999170003,0.8598624417024704,False
10055_00_0.04s.ARW,Sony,100,0.04,250.0,12.370384332910891,16.737965888170855,21.715744943650694,0.10599641378688979,0.8275896268595927,0.8700790414717017,False
10055_00_0.1s.ARW,Sony,100,0.1,100.0,12.508667888303819,19.112972251835266,21.826883378500046,0.23764794607657472,0.8811619932327757,0.8871048092632202,False
10068_00_0.04s.ARW,Sony,100,0.04,250.0,13.684044682545405,13.32765152512551,21.615708907202333,0.0686512597462134,0.7708300506516775,0.9410558612179364,False
10068_00_0.1s.ARW,Sony,100,0.1,100.0,16.78039572231544,14.92068300261123,23.869415439259942,0.19314580061442543,0.8548986005790719,0.9551528809567431,False
10069_00_0.04s.ARW,Sony,100,0.04,250.0,15.275056805643029,30.497443933911686,35.07490476790704,0.07746245063204907,0.9574809077436703,0.9677296016399207,False
10069_00_0.1s.ARW,Sony,100,0.1,100.0,17.38295521424961,27.58115102104813,37.60383712484308,0.19525618726763874,0.9618791379029442,0.9743362140976498,False
10074_00_0.1s.ARW,Sony,100,0.1,300.0,11.468519405348365,18.527645667883693,30.944834050543882,0.02720290246195638,0.7294984217197141,0.8247757576587432,False
10077_00_0.1s.ARW,Sony,100,0.1,300.0,11.947593879144335,17.137378277408246,25.37162081731131,0.05004715192365939,0.6330967389874603,0.732387297880447,False
10082_00_0.1s.ARW,Sony,100,0.1,300.0,12.97577184325,19.996079181097105,29.340414408228924,0.06331063226956324,0.7255478314688156,0.7960874466187858,False
10087_00_0.1s.ARW,Sony,100,0.1,300.0,16.259629806995964,31.801984558579967,31.801984558579967,0.1763436314895228,0.8367659301133088,0.8367659301133088,False
10093_00_0.1s.ARW,Sony,100,0.1,300.0,16.49462220349694,23.73800922126474,25.801239171195117,0.1181334951420586,0.5127195420390415,0.5493839803779837,False
10101_00_0.1s.ARW,Sony,100,0.1,300.0,14.700561837661553,30.24928794513307,30.24928794513307,0.09568594034695654,0.8430695128413198,0.8430695128413198,False
10103_00_0.1s.ARW,Sony,100,0.1,300.0,16.764389333709264,28.566114857844926,28.566114857844926,0.18679285669588722,0.798025913907871,0.798025913907871,False
10105_00_0.1s.ARW,Sony,100,0.1,300.0,12.810668451182456,25.79015779093897,26.109028918958003,0.0790794450791474,0.7087912134921229,0.7090545398853948,False
10106_00_0.1s.ARW,Sony,100,0.1,300.0,13.018041640043002,25.287269450709857,25.287269450709857,0.06289770201637257,0.7310333708024969,0.7310333708024969,False
10111_00_0.1s.ARW,Sony,100,0.1,300.0,16.412543728433274,28.965217667019246,29.790178544311466,0.1679142627656067,0.7863765422921624,0.7995179293762797,False
10116_00_0.1s.ARW,Sony,100,0.1,300.0,13.676499849514121,22.196167695440934,27.926767255226956,0.1234890997244924,0.7628854189551494,0.7810218812980615,False
10125_00_0.1s.ARW,Sony,100,0.1,300.0,15.18919211728585,32.774320293317345,32.774320293317345,0.21145270901706156,0.8828025515324495,0.8828025515324495,False
10126_00_0.1s.ARW,Sony,100,0.1,300.0,16.97845785431635,33.364337501452226,33.364337501452226,0.21850587375244768,0.8761679228881524,0.8761679228881524,False
10139_00_0.1s.ARW,Sony,100,0.1,300.0,17.249508364352224,29.89850775223387,29.89850775223387,0.17148555062062634,0.7974145968644035,0.7974145968644035,False
10140_00_0.1s.ARW,Sony,100,0.1,300.0,15.82810489750745,30.744979533979304,31.73616410739713,0.36974458557591167,0.8376548758962802,0.8484593362211607,False
10162_00_0.1s.ARW,Sony,100,0.1,300.0,16.244634343297438,29.58498837606001,29.58498837606001,0.09243924653454168,0.8469131737782113,0.8469131737782113,False
10163_00_0.1s.ARW,Sony,100,0.1,300.0,18.562146958786812,34.206592824510345,34.206592824510345,0.15842607263615988,0.8867157267353806,0.8867157267353806,False
10167_00_0.1s.ARW,Sony,100,0.1,300.0,18.272179004057644,28.300942388764334,28.776024317149826,0.1771945225607214,0.811609046134382,0.8053102187787112,False
10170_00_0.1s.ARW,Sony,100,0.1,300.0,15.304483200535927,33.99701883617369,33.99701883617369,0.08524882883210912,0.9087797493844189,0.9087797493844189,False
10172_00_0.1s.ARW,Sony,100,0.1,300.0,16.84647095637218,26.797641046722006,26.797641046722006,0.14782880454039118,0.7852107102305173,0.7852107102305173,False
10176_00_0.1s.ARW,Sony,100,0.1,300.0,16.99370706922058,33.03144754579357,33.03144754579357,0.17737077585597572,0.886134900279057,0.886134900279057,False
10178_00_0.033s.ARW,Sony,100,0.033,300.0,12.531897898041839,19.545570630804807,29.671895298212444,0.0446393496011949,0.8221816491572227,0.8933754275079734,False
10178_00_0.04s.ARW,Sony,100,0.04,250.0,13.097357706310873,20.863909901053063,30.604339484075584,0.05167737655387894,0.8515597195451127,0.896818720435769,False
10178_00_0.1s.ARW,Sony,100,0.1,100.0,15.227667574744363,27.262345117011783,32.505166670766485,0.1083053254408114,0.9048654878832751,0.9112739899859789,False
10185_00_0.033s.ARW,Sony,100,0.033,300.0,9.899778783368443,15.525854971814734,24.544416052764507,0.020392898053548048,0.489735835598429,0.5830023199777937,False
10185_00_0.04s.ARW,Sony,100,0.04,250.0,10.088320232868675,16.468493034968656,24.888863978308894,0.022323823277088817,0.5191463374749126,0.5915896743608104,False
10185_00_0.1s.ARW,Sony,100,0.1,100.0,11.129357286735072,21.579357353904093,26.509787826384713,0.03401883800052801,0.6111021214095494,0.628972337864757,False
10187_00_0.033s.ARW,Sony,100,0.033,300.0,13.860585089148113,24.43813695171997,28.26353886747691,0.09351777670527346,0.5309226169140365,0.5257003288219741,False
10187_00_0.04s.ARW,Sony,100,0.04,250.0,14.15960039323882,26.60910019506536,28.461249278018116,0.09773623465341173,0.5372559355984665,0.5343872068767864,False
10187_00_0.1s.ARW,Sony,100,0.1,100.0,15.914792523500639,23.885882168952627,28.537606637601648,0.12433155968884514,0.5367115943325209,0.5401847877697173,False
10191_00_0.033s.ARW,Sony,100,0.033,300.0,10.562100813399027,17.54425692516805,27.27044023423193,0.020941580839624187,0.5189378882889152,0.5837258690545479,False
10191_00_0.04s.ARW,Sony,100,0.04,250.0,10.739847777008322,18.746649421696052,27.520298561256023,0.02229102893959245,0.5411708759149564,0.5877824512552368,False
10191_00_0.1s.ARW,Sony,100,0.1,100.0,11.801502850690007,25.260079153012605,28.64953156823401,0.032648753845927726,0.588570945770056,0.5969165184002296,False
10192_00_0.033s.ARW,Sony,100,0.033,300.0,11.576597841022595,24.912756252668764,28.144550444829164,0.032351281673604404,0.8315478672756544,0.8392405658388148,False
10192_00_0.04s.ARW,Sony,100,0.04,250.0,11.94529564833444,25.887860676153906,30.169406578514643,0.03795320178614724,0.8380192156585428,0.8462045784399047,False
10192_00_0.1s.ARW,Sony,100,0.1,100.0,14.05174974858272,30.09635270180972,31.018793064674423,0.07560222167377482,0.8590998476880615,0.8587302595140591,False
10193_00_0.033s.ARW,Sony,100,0.033,300.0,13.978319285646387,23.35107009793191,27.357828818201853,0.07316680669161812,0.770338440889145,0.7971613588605381,False
10193_00_0.04s.ARW,Sony,100,0.04,250.0,14.438712422987116,25.187984390284385,28.445587502341965,0.07782865652192687,0.7905381061286009,0.8041163216388066,False
10193_00_0.1s.ARW,Sony,100,0.1,100.0,16.733622980879353,26.365249356659422,29.0175120164816,0.11211261439592467,0.8302590617327575,0.8441675147532713,False
10198_00_0.033s.ARW,Sony,100,0.033,300.0,10.058291850947054,14.445552174054585,20.752062996802046,0.014911187333036266,0.2858663612915597,0.3601023694459781,False
10198_00_0.04s.ARW,Sony,100,0.04,250.0,10.11178220899027,15.34413905162853,21.88279146706379,0.01522254953777441,0.31156852172119065,0.37250193112244306,False
10198_00_0.1s.ARW,Sony,100,0.1,100.0,10.50729158101448,19.83091004053414,23.419771771771263,0.0172296953078924,0.38208891274808154,0.39805739366000203,False
10199_00_0.033s.ARW,Sony,100,0.033,300.0,10.925980452602378,24.5126744526753,26.22629856849827,0.019358876816196007,0.7127607123816665,0.7161275473808878,False
10199_00_0.04s.ARW,Sony,100,0.04,250.0,11.11915746786648,26.322763029869876,26.979862454296935,0.020696674298558166,0.7226133374475984,0.7232787674930282,False
10199_00_0.1s.ARW,Sony,100,0.1,100.0,12.336666509516569,28.421660939898533,28.35906698703461,0.03144433386191997,0.7402601990463301,0.7402152700925133,False
10203_00_0.033s.ARW,Sony,100,0.033,300.0,12.807308097829218,29.1803305956999,29.1803305956999,0.03885944155915875,0.7354604613475217,0.7354604613475217,False
10203_00_0.04s.ARW,Sony,100,0.04,250.0,13.184799049905806,27.152367599567583,29.572713085548592,0.04295215728906023,0.731003490480299,0.7395301898595364,False
10203_00_0.1s.ARW,Sony,100,0.1,100.0,15.125099982963162,22.587296375229453,30.862262939760868,0.07059929553052198,0.7243465715390536,0.7515142261341446,False
10213_00_0.033s.ARW,Sony,100,0.033,300.0,11.062634139552973,18.259892484726333,26.464414829664836,0.02366136032390582,0.49749128776796137,0.585787483243572,False
10213_00_0.04s.ARW,Sony,100,0.04,250.0,11.212433646736638,19.867242447920145,26.944786431152295,0.0247364842430445,0.5363078020456619,0.5925337463831105,False
10213_00_0.1s.ARW,Sony,100,0.1,100.0,12.094039231485565,28.08105114769384,28.41615785616025,0.03216486516513607,0.6152645101489024,0.6159179258954305,False
10217_00_0.033s.ARW,Sony,100,0.033,300.0,11.437633577776714,25.22213906609516,27.003660818694698,0.02549867829960663,0.6222812311748411,0.6279725866896647,False
10217_00_0.04s.ARW,Sony,100,0.04,250.0,11.633709474311168,26.76269497793159,27.5158739177555,0.027351224039159027,0.6320485569358133,0.6347631569317138,False
10217_00_0.1s.ARW,Sony,100,0.1,100.0,12.816269311075972,24.66444694666898,28.942662422162474,0.040910450726861725,0.6415079920450516,0.6519201045566012,False
10226_00_0.033s.ARW,Sony,100,0.033,300.0,9.451412485850874,18.10680239789072,25.052556647203236,0.01456394711113424,0.6610875777074766,0.6900420796788396,False
10226_00_0.04s.ARW,Sony,100,0.04,250.0,9.677514018664347,19.80551685391496,24.894811421178623,0.015505043616462743,0.677326000653888,0.6940000425397873,False
10226_00_0.1s.ARW,Sony,100,0.1,100.0,10.886756555379966,22.943508722509392,25.07626877953131,0.023434424906668944,0.7003058676587206,0.7054181625332986,False
10227_00_0.033s.ARW,Sony,100,0.033,300.0,12.375820446356595,25.99671672610542,25.99671672610542,0.030706043947697343,0.592604322391473,0.592604322391473,False
10227_00_0.04s.ARW,Sony,100,0.04,250.0,12.484590628588068,24.536394968016605,26.49764526441881,0.032473560096740586,0.5885150398285405,0.599831070954895,False
10227_00_0.1s.ARW,Sony,100,0.1,100.0,13.395596204101048,19.01967281535894,27.672617208683704,0.044608475511363876,0.5617097783903781,0.6292417410046088,False
10228_00_0.033s.ARW,Sony,100,0.033,300.0,13.12734362357276,22.72594278222323,25.37983379146496,0.05470788151523579,0.5204159096401685,0.5219483157210708,False
10228_00_0.04s.ARW,Sony,100,0.04,250.0,13.261410695390818,24.617396237686524,25.58485061609374,0.05613967671009063,0.535696307837178,0.5242646733847061,False
10228_00_0.1s.ARW,Sony,100,0.1,100.0,14.153483078349531,23.797191728826974,27.558004844459525,0.06732265346867695,0.5487062227411034,0.5670942292444222,False
